구,법정동,층,건축년도,용적률,건폐율,노령화지수,전세가율,소비자물가지수,회사채,지하철역 개수,면적당가격(만원)
도봉구,도봉동,13,1995.0,141.17766153846154,50.91124615384616,3.71918415607449,55.5,108.93,296979.0,4,706.3809748057453
도봉구,도봉동,7,2002.0,141.17766153846154,50.91124615384616,3.71918415607449,55.5,108.93,296979.0,4,740.9251487777699
도봉구,도봉동,12,1995.0,141.17766153846154,50.91124615384616,3.71918415607449,55.5,108.93,296979.0,4,747.5865316694137
도봉구,도봉동,6,1996.0,141.17766153846154,50.91124615384616,3.71918415607449,55.5,108.93,296979.0,4,884.0667068515169
도봉구,도봉동,16,1995.0,141.17766153846154,50.91124615384616,3.71918415607449,55.5,108.93,296979.0,4,706.3809748057453
도봉구,도봉동,2,2004.0,141.17766153846154,50.91124615384616,3.702121390689452,55.3,108.62,315675.0,4,498.87159995248845
도봉구,도봉동,10,2002.0,141.17766153846154,50.91124615384616,3.702121390689452,55.3,108.62,315675.0,4,712.9023442605421
도봉구,도봉동,10,1995.0,141.17766153846154,50.91124615384616,3.66705710102489,55.05,108.74,294210.0,4,724.0404991758888
도봉구,도봉동,9,1996.0,141.17766153846154,50.91124615384616,3.66705710102489,55.05,108.74,294210.0,4,642.9576049829215
도봉구,도봉동,3,1992.0,141.17766153846154,50.91124615384616,3.66705710102489,55.05,108.74,294210.0,4,648.126325712939
도봉구,도봉동,17,1995.0,141.17766153846154,50.91124615384616,3.66705710102489,55.05,108.74,294210.0,4,706.3809748057453
도봉구,도봉동,6,1987.0,141.17766153846154,50.91124615384616,3.66705710102489,55.05,108.74,294210.0,4,623.9214124518784
도봉구,도봉동,10,1995.0,141.17766153846154,50.91124615384616,3.66705710102489,55.05,108.74,294210.0,4,765.2460560395574
도봉구,도봉동,1,1995.0,141.17766153846154,50.91124615384616,3.6354895104895104,54.8,108.22,301276.0,4,729.9270072992701
도봉구,도봉동,1,1994.0,141.17766153846154,50.91124615384616,3.6354895104895104,54.8,108.22,301276.0,4,479.12388774811774
도봉구,도봉동,9,1996.0,141.17766153846154,50.91124615384616,3.6354895104895104,54.8,108.22,301276.0,4,924.2515571629496
도봉구,도봉동,7,1987.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,710.2084163016062
도봉구,도봉동,8,1987.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,663.7461834594451
도봉구,도봉동,6,1995.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,794.6785966564634
도봉구,도봉동,6,1995.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,806.4516129032259
도봉구,도봉동,10,1995.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,753.4730397927949
도봉구,도봉동,2,1998.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,628.0364972153099
도봉구,도봉동,2,1987.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,650.4712597902562
도봉구,도봉동,18,2003.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,916.826532653854
도봉구,도봉동,3,2002.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,772.3842908918068
도봉구,도봉동,4,1995.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,794.6785966564634
도봉구,도봉동,3,1994.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,505.2860696517413
도봉구,도봉동,5,1995.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,765.2460560395574
도봉구,도봉동,2,1996.0,141.17766153846154,50.91124615384616,3.594282414091828,54.75,107.56,306753.0,4,949.5252373813092
도봉구,도봉동,4,1995.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,753.4730397927949
도봉구,도봉동,13,1996.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,1004.6212577858148
도봉구,도봉동,9,1996.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,1004.6212577858148
도봉구,도봉동,9,1996.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,1004.6212577858148
도봉구,도봉동,17,1995.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,864.1393925123617
도봉구,도봉동,16,1995.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,812.338121026607
도봉구,도봉동,11,1995.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,859.4301860136567
도봉구,도봉동,13,1995.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,801.7424064045208
도봉구,도봉동,5,1996.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,924.2515571629496
도봉구,도봉동,2,1996.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,902.1498894916616
도봉구,도봉동,15,2003.0,141.17766153846154,50.91124615384616,3.5611923187159644,54.76,106.85,274849.0,4,967.4344157143362
도봉구,도봉동,9,1995.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,812.338121026607
도봉구,도봉동,5,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,944.3439823186658
도봉구,도봉동,8,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,950.3717098653808
도봉구,도봉동,6,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,942.3347398030942
도봉구,도봉동,12,1995.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,859.4301860136567
도봉구,도봉동,6,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,932.288527225236
도봉구,도봉동,17,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,944.3439823186658
도봉구,도봉동,14,2002.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,772.2833448185728
도봉구,도봉동,5,2004.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,486.9937047155244
도봉구,도봉동,12,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,900.14064697609
도봉구,도봉동,8,1996.0,141.17766153846154,50.91124615384616,3.518465909090909,54.73,106.06,248908.0,4,914.2053445850912
